target,feature,n,spearman_r,p_value
ugc_class,score_general,400,0.2787,0.0
ugc_class,score_technical,400,0.2438,1e-06
ugc_class,score_aesthetic,400,0.2571,0.0
ugc_class,liqe,400,0.2726,0.0
ugc_class,spaq,400,0.0762,0.127948
ugc_class,ava,400,0.3812,0.0
ugc_class,topiq,400,0.2568,0.0
ugc_class,arniqa,400,0.171,0.000592
ugc_class,rating,400,0.2544,0.0
ugc_score,score_general,400,0.2844,0.0
ugc_score,score_technical,400,0.2428,1e-06
ugc_score,score_aesthetic,400,0.2661,0.0
ugc_score,liqe,400,0.2768,0.0
ugc_score,spaq,400,0.0814,0.103839
ugc_score,ava,400,0.3909,0.0
ugc_score,topiq,400,0.2418,1e-06
ugc_score,arniqa,400,0.1773,0.000368
ugc_score,rating,400,0.2634,0.0
