variable,n,mean,std,min,q1,median,q3,max,skewness
ugc_score,400,0.410759,0.168122,0.118638,0.267391,0.412764,0.531857,0.875587,0.227
ugc_class,400,2.515,0.928402,1.0,2.0,3.0,3.0,5.0,0.0126
score_general,400,0.632976,0.182218,0.0496,0.529675,0.64655,0.764225,0.9461,-0.7156
score_technical,400,0.655563,0.182898,0.063,0.563425,0.6838,0.787975,0.9917,-0.8536
score_aesthetic,400,0.580718,0.183465,0.065,0.45425,0.58925,0.718325,0.9742,-0.3197
liqe,400,0.758483,0.193454,0.001026,0.632551,0.770847,0.928013,0.999896,-0.9456
spaq,400,0.575965,0.133881,0.124,0.49725,0.5955,0.67875,0.794,-0.7468
ava,400,0.408683,0.051028,0.144,0.37575,0.4095,0.441,0.563,-0.459
topiq,400,0.597413,0.082175,0.1364,0.56885,0.61,0.649125,0.7539,-2.0139
arniqa,400,0.649764,0.068603,0.235,0.62685,0.6619,0.691775,0.7896,-2.0147
