var_a,var_b,n,pearson_r,pearson_p,spearman_r,spearman_p
score_general,score_technical,400,0.9672,0.0,0.9604,0.0
score_general,score_aesthetic,400,0.8494,0.0,0.8198,0.0
score_general,liqe,400,0.8635,0.0,0.8368,0.0
score_general,spaq,400,0.7667,0.0,0.7147,0.0
score_general,ava,400,0.5013,0.0,0.4544,0.0
score_general,topiq,400,0.7976,0.0,0.7475,0.0
score_general,arniqa,400,0.6723,0.0,0.6387,0.0
score_general,ugc_score,400,0.3019,0.0,0.2844,0.0
score_technical,score_aesthetic,400,0.755,0.0,0.7183,0.0
score_technical,liqe,400,0.8216,0.0,0.7918,0.0
score_technical,spaq,400,0.7368,0.0,0.6799,0.0
score_technical,ava,400,0.3685,0.0,0.3089,0.0
score_technical,topiq,400,0.866,0.0,0.8419,0.0
score_technical,arniqa,400,0.7724,0.0,0.7531,0.0
score_technical,ugc_score,400,0.265,0.0,0.2428,1e-06
score_aesthetic,liqe,400,0.5337,0.0,0.4459,0.0
score_aesthetic,spaq,400,0.8848,0.0,0.8808,0.0
score_aesthetic,ava,400,0.7154,0.0,0.6996,0.0
score_aesthetic,topiq,400,0.5648,0.0,0.4767,0.0
score_aesthetic,arniqa,400,0.4285,0.0,0.3534,0.0
score_aesthetic,ugc_score,400,0.2885,0.0,0.2661,0.0
liqe,spaq,400,0.4123,0.0,0.2912,0.0
liqe,ava,400,0.3553,0.0,0.2455,1e-06
liqe,topiq,400,0.7324,0.0,0.6559,0.0
liqe,arniqa,400,0.6319,0.0,0.5774,0.0
liqe,ugc_score,400,0.2987,0.0,0.2768,0.0
spaq,ava,400,0.3696,0.0,0.3362,0.0
spaq,topiq,400,0.5524,0.0,0.4335,0.0
spaq,arniqa,400,0.4331,0.0,0.3072,0.0
spaq,ugc_score,400,0.1061,0.03386,0.0814,0.103839
ava,topiq,400,0.3591,0.0,0.2275,4e-06
ava,arniqa,400,0.2818,0.0,0.1269,0.011054
ava,ugc_score,400,0.4314,0.0,0.3909,0.0
topiq,arniqa,400,0.6769,0.0,0.5631,0.0
topiq,ugc_score,400,0.2731,0.0,0.2418,1e-06
arniqa,ugc_score,400,0.263,0.0,0.1773,0.000368
